Dataset,Gameweek,Position,LASSO Regression MAE,Linear Regression MAE,Random Forest MAE,Ridge Regression MAE,XGBoost MAE,XGBoost V2 MAE
test,38,midfielder,1.705055699,1.734525295,1.696705097,1.695232512,1.6712446,1.7089717
training,3,defender,1.556371937,2.099361565,1.835182497,1.556422164,1.8009875,1.5978167
training,3,forward,4.48907742,7.081438513,5.200835304,5.302862403,5.1809397,5.3342967
training,3,goalkeeper,2.539839694,4.009563925,2.114376643,7.154267463,2.3266943,2.0225081
training,3,midfielder,2.386643374,2.657332847,2.522789877,2.341658332,2.467483,2.2183568
training,4,defender,2.131835464,2.185322413,2.237768242,2.099928993,2.2209313,2.2410479
training,4,forward,4.020717716,4.443878504,3.665593873,4.090075113,3.927605,3.8782127
training,4,goalkeeper,2.369815668,2.728486091,2.121125528,2.370565076,2.1107538,2.0774903
training,4,midfielder,2.017084533,2.117483041,2.204738104,1.986008865,2.2235475,2.1596413
training,5,defender,2.095562427,2.103211443,2.236808869,2.046028601,2.1269608,1.9443808
training,5,forward,3.605687023,4.396052273,3.453460246,3.720924221,3.4863732,3.2138784
training,5,goalkeeper,2.099053583,2.243479736,1.951220876,2.099297087,1.980885,2.0029209
training,5,midfielder,2.153632748,2.214172734,2.271645221,2.170856129,2.2421334,1.983429
training,6,defender,2.085314316,2.092468301,2.195809335,2.057051864,2.1041622,2.1281836
training,6,forward,3.304204309,3.813462004,3.135893747,3.43447911,3.0336118,3.065449
training,6,goalkeeper,2.249154229,2.281870988,2.075424682,2.249170627,2.1349857,2.0925603
training,6,midfielder,1.897939737,1.932886145,2.00026674,1.883794287,1.9463575,1.941203
training,7,defender,2.045522689,2.048844714,2.101383759,2.025343524,2.0296621,1.8842998
training,7,forward,3.001522213,3.346626276,2.943170606,3.088714932,2.808399,2.682597
training,7,goalkeeper,2.276453759,2.337644392,2.145172913,2.320102411,2.1543694,2.1627865
training,7,midfielder,1.76919509,1.78608691,1.854738618,1.747796209,1.8218987,1.63384
training,8,defender,2.061158017,2.07700931,2.105280342,2.062924841,2.044064,1.9140502
training,8,forward,2.814594179,3.035726223,2.691862601,2.888011161,2.6272335,2.524115
training,8,goalkeeper,2.2576623,2.228259243,2.091370712,2.231741546,2.1065161,2.1167755
training,8,midfielder,1.750935035,1.761293599,1.815399987,1.73503099,1.7852751,1.6154617
training,9,defender,2.09966054,2.133692121,2.123555119,2.103924894,2.0668933,1.9271904
training,9,forward,2.717547161,2.813365285,2.617401169,2.812273257,2.5271473,2.4428236
training,9,goalkeeper,2.218491485,2.24335926,2.172413734,2.341185325,2.1807346,2.1654906
training,9,midfielder,1.688702876,1.692807321,1.753566254,1.672008156,1.712329,1.5421258
training,10,defender,2.080952645,2.107717857,2.098852983,2.081708415,2.0497825,1.9116788
training,10,forward,2.557889554,2.662241358,2.513091599,2.641658563,2.4536242,2.3692029
training,10,goalkeeper,2.260567017,2.3026263,2.210787038,2.477994158,2.2518435,2.2280831
training,10,midfielder,1.641184058,1.645237655,1.715372845,1.62837399,1.6720625,1.5321296
training,11,defender,2.063119943,2.093552962,2.067467244,2.063116066,2.0397182,2.0437195
training,11,forward,2.505317704,2.569505305,2.499652555,2.553699901,2.4190557,2.4056258
training,11,goalkeeper,2.415432247,2.348440572,2.302152838,2.418774778,2.3089952,2.2840116
training,11,midfielder,1.670680706,1.671628199,1.739450995,1.654382242,1.6951551,1.6807114
training,12,defender,1.994797168,2.038375022,2.02895004,1.99839778,1.9880188,1.8588346
training,12,forward,2.489422623,2.495545103,2.47167967,2.508799706,2.4076886,2.2475514
training,12,goalkeeper,2.249675335,2.243938834,2.189472747,2.27759438,2.2271807,2.1754565
training,12,midfielder,1.704846116,1.707530654,1.769174804,1.695890306,1.7137607,1.5670586
