,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,xgboost_mae,xgboost_v2_mae
214,test,38,goalkeeper,2.1506020188175223,2.1369224552963892,2.2382344201449547,2.188872038507022,2.2713532,2.1918137
215,test,38,midfielder,1.8777037033673423,1.8652569481971204,1.8628543456627766,1.6619326010511395,1.7766678,1.6988466
216,training,3,defender,1.003239108773437,1.0049213531318095,1.1281119223507483,1.8384571236072178,1.9167986,1.714351
217,training,3,forward,6.889190370769263,6.488204709995799,7.030893403668451,5.098380076842345,5.2153034,5.0827646
218,training,3,goalkeeper,2.4107858700266176,5.569069749271291,1.62779702608723,2.1401423800670956,2.3052802,2.52701
219,training,3,midfielder,2.7943144252728254,2.5894862649848127,2.7176992534550424,2.534031087192658,2.5696313,2.5985272
220,training,4,defender,1.6226109005398743,1.5701528512042755,1.5801293005240462,2.215714537829218,2.366408,2.4132378
221,training,4,forward,4.858561262199054,4.643171839928051,4.703051204641956,3.6683798361510602,4.0290747,3.94947
222,training,4,goalkeeper,2.663893155828636,2.664092502497634,2.663893155828636,2.1033724216860614,2.2372384,2.1918638
223,training,4,midfielder,2.3898120014504913,2.336368976063793,2.295805663520269,2.210825689109238,2.3794138,2.3301907
224,training,5,defender,1.5660668316905895,1.5139111772024212,1.5180305940245582,2.2422049204604786,2.3104749,2.331654
225,training,5,forward,3.9087429107501976,3.8832707413278063,3.849944779297892,3.405423537608696,3.6095726,3.5419512
226,training,5,goalkeeper,2.435551411825746,2.3781809343813674,2.3782371498375214,1.9687383575220445,2.072525,2.060732
227,training,5,midfielder,2.4761219530637515,2.4699580219774098,2.45061245161819,2.2762151571976124,2.3909461,2.380541
228,training,6,defender,1.6284005727526638,1.5811433903738181,1.5830704622778264,2.172260499294925,2.2631042,2.2914834
229,training,6,forward,3.447602644189838,3.402430024693926,3.3987489638885733,3.109628930892876,3.1644197,3.1441379
230,training,6,goalkeeper,2.64317368377141,2.6116290083278475,2.611669105453125,2.048987603801693,2.211286,2.1633651
231,training,6,midfielder,2.2563767124790512,2.2567971902655866,2.265187453731052,2.015145270019605,2.0940328,2.0879579
232,training,7,defender,1.6229260292076735,1.615619099566253,1.6299423283492132,2.1085843061014593,2.1838865,2.0869079
233,training,7,forward,3.345445617078634,3.191273934181838,3.227325216195176,2.939568341643291,2.9019804,2.8447442
234,training,7,goalkeeper,2.774542450462199,2.7546162384810944,2.730750005522251,2.1355808243485352,2.2720413,2.2696424
235,training,7,midfielder,2.1452505806769913,2.1441641422062707,2.1541871730182716,1.875126480195719,1.9746993,1.8877157
236,training,8,defender,1.684887553458858,1.6470488513558885,1.638910440414331,2.12168974493573,2.2226167,2.0940404
237,training,8,forward,3.071303331565579,2.99597789831093,3.0334735938667747,2.7252334683244137,2.756045,2.6725965
238,training,8,goalkeeper,2.6856560476112232,2.671230316243594,2.6316424697786562,2.084103128079464,2.1502693,2.1096718
239,training,8,midfielder,2.083059615305589,2.088084231707909,2.0935651403461057,1.825363909833948,1.9530584,1.8323859
240,training,9,defender,1.7151668762008017,1.6880403549516807,1.682342363125644,2.120825627705856,2.2273185,2.2198076
241,training,9,forward,2.9354024875833744,2.892952172990392,2.9076544940393516,2.638104490351215,2.657474,2.6514633
242,training,9,goalkeeper,2.775944001227305,2.7594510037330076,2.6938809674925337,2.192919646765035,2.2622578,2.2472572
