,dataset,gameweek,position,linear_regression_mae,ridge_regression_mae,lasso_regression_mae,random_forest_mae,random_forest_v2_mae
89,test,7,forward,3.5338012805594983,3.3159211556703765,2.9910653327828953,2.062525965218593,2.0595318098678344
90,test,7,goalkeeper,2.414337014524834,2.7539719894079835,2.191450648774858,2.160131277740068,2.186217655775165
91,test,7,midfielder,2.1101626535474733,2.1337737955806677,2.0938965064905877,1.6369725760179918,1.6384099718326157
92,test,8,defender,1.5191115817277558,1.489298502888366,1.579624830565148,1.9190070259559606,1.9475225734645574
93,test,8,forward,2.8842433638095915,3.032381104297756,2.7874472408267303,2.043202820656739,2.022868861995082
94,test,8,goalkeeper,2.187673714559455,2.6568476788353856,1.995481888742171,2.2479886433700824,2.235731343270204
95,test,8,midfielder,1.9949199075176258,2.080591315905085,2.0368352306738218,1.6702988205474778,1.6859332755573624
96,test,9,defender,1.5776221492073597,1.5232879053104007,1.622486270764485,1.9217071673953539,1.9257629465195232
97,test,9,forward,2.936091066693181,2.9175312384747683,2.73474067011992,2.041215731370954,2.0582410687228267
98,test,9,goalkeeper,2.5473863325686823,2.7532689112068733,2.2450206085171325,2.1801287749301066,2.200587445017337
99,test,9,midfielder,1.941469340181593,1.9986447746694689,1.9547851852222,1.6694230658809732,1.6860118106080728
100,test,10,defender,1.6511938507134587,1.531806888135564,1.6067217236668467,1.9222209489675355,1.9254577664179204
101,test,10,forward,2.539162790027073,2.7874925345428796,2.6345698516192275,2.068804377391645,2.1236922273714827
102,test,10,goalkeeper,2.562535823181999,2.9000386346306257,2.495746274193298,2.0811685756746625,2.1729003330102477
